country,latitude,longitude,max_temp,humidity,cloudiness,wind_speed,date
US,37.17,-99.65,28.99,48.0,0.0,3.0,2019-03-06 00:01:36
PR,18.47,-66.12,77.0,69.0,1.0,4.7,2019-03-05 23:59:49
RU,71.97,114.09,-7.56,60.0,64.0,8.41,2019-03-06 00:02:24
CA,62.45,-114.38,15.8,61.0,20.0,4.7,2019-03-05 23:00:00
TO,-18.65,-173.98,78.8,83.0,75.0,6.93,2019-03-05 23:00:00
,,,,,,,
CA,43.26,-79.87,16.0,78.0,75.0,10.29,2019-03-06 00:00:18
,,,,,,,
CA,49.72,-86.95,1.4,70.0,75.0,6.93,2019-03-05 23:00:00
MU,-20.34,57.76,80.6,74.0,20.0,3.36,2019-03-05 23:59:05
,,,,,,,
CF,5.02,25.13,70.25,84.0,8.0,2.48,2019-03-06 00:02:26
BR,-32.03,-52.1,74.03,95.0,48.0,7.74,2019-03-06 00:02:26
PT,37.1,-8.36,60.8,82.0,40.0,13.87,2019-03-06 00:01:32
BR,-7.85,-41.91,73.71,90.0,48.0,3.27,2019-03-05 23:58:00
RU,57.68,48.31,34.38,95.0,92.0,19.15,2019-03-06 00:02:26
MX,18.62,-100.35,86.31,27.0,0.0,2.82,2019-03-06 00:02:27
RU,57.22,94.9,20.16,81.0,44.0,5.73,2019-03-06 00:02:27
RU,71.98,102.47,-3.11,73.0,80.0,7.74,2019-03-06 00:02:27
CA,58.81,-122.69,17.6,67.0,75.0,3.36,2019-03-05 23:00:00
RU,51.55,105.12,14.0,39.0,68.0,5.99,2019-03-06 00:00:04
NG,9.67,8.4,64.76,89.0,32.0,2.04,2019-03-06 00:02:28
CD,4.19,19.88,72.0,89.0,20.0,2.82,2019-03-06 00:02:28
AO,-15.19,12.15,78.26,100.0,36.0,0.69,2019-03-06 00:02:28
CD,1.51,21.07,71.96,94.0,32.0,3.49,2019-03-06 00:02:29
,,,,,,,
RU,53.59,142.95,4.01,97.0,36.0,8.52,2019-03-06 00:02:29
US,30.04,-94.42,48.2,34.0,1.0,10.29,2019-03-06 00:02:09
GL,61.99,-49.67,27.9,100.0,64.0,9.75,2019-03-06 00:02:29
GL,60.72,-46.03,26.6,53.0,64.0,4.7,2019-03-05 22:50:00
CA,65.28,-126.83,19.4,57.0,20.0,8.05,2019-03-05 23:00:00
CL,-22.09,-70.2,66.11,87.0,12.0,4.38,2019-03-06 00:02:30
NO,70.98,25.97,21.2,92.0,90.0,20.8,2019-03-05 22:29:00
